truck_id,order_id,node_id,node_type,event_type,truck_status,timestamp,vehicle_gps_latitude,vehicle_gps_longitude,fuel_consumption_rate,eta_variation_hours,traffic_congestion_level,warehouse_inventory_level,loading_unloading_time,handling_equipment_availability,order_fulfillment_status,weather_condition_severity,port_congestion_level,shipping_costs,supplier_reliability_score,lead_time_days,historical_demand,iot_temperature,cargo_condition_status,route_risk_level,customs_clearance_time,driver_behavior_score,fatigue_monitoring_score,disruption_likelihood_score,delay_probability,risk_classification,delivery_time_deviation,pending_orders_count,episode_id
T4,3898,N78,NodeType.HUB,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 00:04:51,49.840773,23.662093,7.87,4.27,1.0,466.42,0.5,1,0.3437,0.6593,4.1,553.58,0.7606,4.5,10000.0,-10.0,0,9.56,0.5,0.329,0.3152,0.6295,0.7336,High Risk,143.19,44,8
T14,26,N78,NodeType.HUB,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 00:08:51,49.840773,23.662093,5.0,5.39,0.0,206.21,0.5,1,0.4118,0.507,4.41,179.15,1.0,2.76,10000.0,-10.0,0,8.06,0.5,0.792,0.3327,0.5102,0.9474,High Risk,147.57,44,8
T94,3625,N16,NodeType.PORT,DEPART_NODE,EN_ROUTE_TO_DELIVERY,2023-01-01 00:18:15,49.780348,14.264228,10.62,4.14,0.41,114.73,0.5,1,0.1308,1.0,8.0,513.32,0.7428,5.39,7361.5,-10.0,0,14.43,0.5,0.3768,0.2024,0.4852,1.0,High Risk,138.87,44,8
T145,3554,N16,NodeType.PORT,DEPART_NODE,EN_ROUTE_TO_DELIVERY,2023-01-01 00:19:26,49.780348,14.264228,7.61,5.09,0.0,80.21,0.5,1,0.0239,1.0,9.47,436.52,0.7415,3.87,1213.96,-10.0,0,13.98,0.5,0.9413,0.072,0.8979,1.0,High Risk,137.25,44,8
T8,2378,N99,NodeType.INSPECTION,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 00:23:33,51.328526,14.454776,5.14,3.27,0.57,0.0,1.48,1,0.0268,0.9997,1.27,407.36,0.5039,6.04,6309.65,-10.0,0,16.73,1.65,0.7889,0.2364,1.0,1.0,High Risk,140.91,40,8
T13,4656,N31,NodeType.INSPECTION,DEPART_NODE,EN_ROUTE_TO_DELIVERY,2023-01-01 00:37:02,48.472236,17.142785,9.17,2.94,0.02,28.16,1.39,1,0.5804,0.756,3.76,613.53,0.6539,1.79,8398.81,-10.0,1,0.0,0.77,0.47,0.4627,0.0934,0.8997,Low Risk,143.06,54,8
T45,60,N49,NodeType.HUB,DEPART_NODE,EN_ROUTE_TO_PICKUP,2023-01-01 00:39:46,49.932226,16.334858,11.63,-0.7,0.81,1073.63,0.5,1,0.1431,1.0,0.0,683.04,0.2714,7.12,5998.81,-10.0,0,15.65,0.5,0.0706,0.0,0.8261,1.0,High Risk,146.32,34,8
T207,4023,N16,NodeType.PORT,DEPART_NODE,EN_ROUTE_TO_DELIVERY,2023-01-01 00:40:28,49.780348,14.264228,7.87,1.39,1.17,125.52,0.5,1,0.501,0.8813,13.73,676.91,0.0,6.08,4516.11,-9.05,0,13.29,1.72,1.0,0.3262,0.9931,0.5203,High Risk,137.98,44,8
T46,1803,N99,NodeType.INSPECTION,DEPART_NODE,EN_ROUTE_TO_DELIVERY,2023-01-01 00:42:59,51.328526,14.454776,5.0,3.08,0.0,932.94,1.03,1,0.142,0.82,0.81,216.16,0.8017,13.75,2709.0,-10.0,0,13.49,1.11,0.6467,0.0,0.9242,1.0,High Risk,142.82,40,8
T5,1565,N98,NodeType.HUB,DEPART_NODE,EN_ROUTE_TO_DELIVERY,2023-01-01 00:46:37,51.054165,18.331809,5.0,-1.79,0.0,0.0,1.77,1,0.6278,0.6673,4.42,100.0,0.0,2.7,100.02,-10.0,1,5.75,0.5,0.0,0.1839,0.4835,0.545,Moderate Risk,141.33,27,8
