truck_id,order_id,node_id,node_type,event_type,truck_status,timestamp,vehicle_gps_latitude,vehicle_gps_longitude,fuel_consumption_rate,eta_variation_hours,traffic_congestion_level,warehouse_inventory_level,loading_unloading_time,handling_equipment_availability,order_fulfillment_status,weather_condition_severity,port_congestion_level,shipping_costs,supplier_reliability_score,lead_time_days,historical_demand,iot_temperature,cargo_condition_status,route_risk_level,customs_clearance_time,driver_behavior_score,fatigue_monitoring_score,disruption_likelihood_score,delay_probability,risk_classification,delivery_time_deviation
T1,,N14,NodeType.HUB,DEPART_NODE,IDLE,2024-01-01 00:08:06,45.84925,17.968085,10.71,1.11,4.44,502.99,2.14,1,0.7428,0.3192,3.82,162.97,0.0,5.93,8707.88,-10.0,1,2.28,2.18,0.8294,0.044,0.204,0.3878,Low Risk,2.89
T2,,N7,NodeType.HUB,DEPART_NODE,IDLE,2024-01-01 00:27:22,54.999728,22.579795,16.47,1.76,3.59,420.77,3.12,1,0.6071,0.9991,2.94,400.56,0.4569,5.96,6505.03,9.33,1,4.72,0.57,0.9644,0.0214,0.6209,0.4486,Moderate Risk,3.41
T3,,N2,NodeType.PORT,DEPART_NODE,IDLE,2024-01-01 00:56:18,49.232675,20.570204,6.2,2.2,4.78,346.71,1.64,0,0.8251,0.5246,8.81,107.5,0.1625,6.98,2869.42,-10.0,1,2.62,1.32,0.7031,0.0865,0.3567,0.3319,Low Risk,2.86
T4,,N14,NodeType.HUB,DEPART_NODE,IDLE,2024-01-01 01:13:46,45.84925,17.968085,16.76,-0.3,2.54,409.75,2.55,0,0.7687,0.163,1.94,259.21,0.6811,4.46,2404.89,-10.0,0,2.56,1.74,1.0,0.2531,0.2519,0.1797,Low Risk,0.5
T5,,N1,NodeType.PORT,DEPART_NODE,IDLE,2024-01-01 01:58:18,50.450706,19.336495,13.17,1.1,2.71,448.17,3.36,0,0.7773,0.3091,9.98,297.54,0.0542,7.86,734.27,-8.0,1,1.47,0.73,0.4845,0.3194,0.158,0.4659,Low Risk,2.47
T6,ORD39,N7,NodeType.HUB,DEPART_NODE,EN_ROUTE_TO_PICKUP,2024-01-01 02:39:17,54.999728,22.579795,10.41,2.78,3.13,389.98,2.3,0,0.4781,0.7777,5.27,842.53,0.2631,6.32,10000.0,-10.0,1,6.51,1.49,0.642,0.2108,0.6804,0.4443,Moderate Risk,4.22
T7,,N8,NodeType.PORT,DEPART_NODE,IDLE,2024-01-01 03:12:51,45.351688,25.662134,5.8,-1.03,3.18,404.36,3.57,0,0.8931,0.218,8.08,530.08,0.825,5.94,2517.54,-10.0,1,1.87,1.11,0.4435,0.405,0.2203,0.2701,Low Risk,1.53
T8,ORD17,N11,NodeType.HUB,DEPART_NODE,EN_ROUTE_TO_PICKUP,2024-01-01 03:15:40,47.588496,22.556025,16.45,1.98,4.04,336.21,3.2,0,0.5191,0.7549,2.72,633.84,1.0,5.4,8217.95,-6.98,1,4.84,1.59,0.1782,0.2801,0.4923,0.4356,Moderate Risk,2.55
T9,,N11,NodeType.HUB,DEPART_NODE,IDLE,2024-01-01 03:25:01,47.588496,22.556025,10.73,3.04,3.47,210.64,2.84,0,0.5977,0.8626,5.1,980.5,0.6517,5.26,10000.0,-10.0,1,4.8,1.07,0.1421,0.3983,0.6016,0.4996,Moderate Risk,1.07
T10,,N11,NodeType.HUB,DEPART_NODE,IDLE,2024-01-01 03:44:40,47.588496,22.556025,8.25,0.86,2.63,547.61,2.55,1,0.928,0.4805,3.12,520.26,0.1857,7.88,8096.34,-10.0,1,4.28,1.11,0.3212,0.4828,0.2213,0.3414,Low Risk,2.1
